ID: 392, Time: 2024-06-01 12:51:00, Type: short, Price: 528.25, Units: 1, Previous Balance: 99465.91999999998, New Balance: 98937.66999999998, Result: trade executed
ID: 394, Time: 2024-06-03 03:56:00, Type: short, Price: 528.41, Units: 1, Previous Balance: 99465.91999999998, New Balance: 99466.07999999999, Result: win
ID: 396, Time: 2024-06-03 04:00:00, Type: short, Price: 528.31, Units: 1, Previous Balance: 99466.07999999999, New Balance: 98937.76999999999, Result: trade executed
ID: 398, Time: 2024-06-03 04:56:00, Type: short, Price: 528.12, Units: 1, Previous Balance: 99466.07999999999, New Balance: 99465.88999999998, Result: loss
ID: 400, Time: 2024-06-03 05:00:00, Type: short, Price: 528.12, Units: 1, Previous Balance: 99465.88999999998, New Balance: 98937.76999999999, Result: trade executed
ID: 402, Time: 2024-06-03 05:56:00, Type: short, Price: 528.14, Units: 1, Previous Balance: 99465.88999999998, New Balance: 99465.90999999999, Result: win
ID: 404, Time: 2024-06-03 06:00:00, Type: short, Price: 528.09, Units: 1, Previous Balance: 99465.90999999999, New Balance: 98937.81999999999, Result: trade executed
ID: 406, Time: 2024-06-03 06:56:00, Type: short, Price: 528.19, Units: 1, Previous Balance: 99465.90999999999, New Balance: 99466.01, Result: win
ID: 408, Time: 2024-06-03 07:00:00, Type: short, Price: 528.37, Units: 1, Previous Balance: 99466.01, New Balance: 98937.64, Result: trade executed
ID: 410, Time: 2024-06-03 07:56:00, Type: short, Price: 528.44, Units: 1, Previous Balance: 99466.01, New Balance: 99466.08, Result: win
ID: 412, Time: 2024-06-03 08:00:00, Type: short, Price: 528.68, Units: 1, Previous Balance: 99466.08, New Balance: 98937.40000000001, Result: trade executed
ID: 414, Time: 2024-06-03 09:56:00, Type: short, Price: 527.27, Units: 1, Previous Balance: 99466.08, New Balance: 99464.67000000001, Result: loss
ID: 416, Time: 2024-06-03 10:00:00, Type: short, Price: 527.55, Units: 1, Previous Balance: 99464.67000000001, New Balance: 98937.12000000001, Result: trade executed
ID: 418, Time: 2024-06-03 10:56:00, Type: short, Price: 526.69, Units: 1, Previous Balance: 99464.67000000001, New Balance: 99463.81000000001, Result: loss
ID: 420, Time: 2024-06-03 11:00:00, Type: short, Price: 526.04, Units: 1, Previous Balance: 99463.81000000001, New Balance: 98937.77000000002, Result: trade executed
ID: 422, Time: 2024-06-03 11:56:00, Type: short, Price: 523.78, Units: 1, Previous Balance: 99463.81000000001, New Balance: 99461.55000000002, Result: loss
ID: 424, Time: 2024-06-03 12:00:00, Type: short, Price: 524.03, Units: 1, Previous Balance: 99461.55000000002, New Balance: 98937.52000000002, Result: trade executed
ID: 426, Time: 2024-06-03 12:56:00, Type: short, Price: 525.23, Units: 1, Previous Balance: 99461.55000000002, New Balance: 99462.75000000001, Result: win
ID: 428, Time: 2024-06-03 13:00:00, Type: short, Price: 525.3, Units: 1, Previous Balance: 99462.75000000001, New Balance: 98937.45000000001, Result: trade executed
ID: 430, Time: 2024-06-03 13:56:00, Type: short, Price: 525.63, Units: 1, Previous Balance: 99462.75000000001, New Balance: 99463.08000000002, Result: win
ID: 432, Time: 2024-06-03 14:00:00, Type: short, Price: 525.99, Units: 1, Previous Balance: 99463.08000000002, New Balance: 98937.09000000001, Result: trade executed
ID: 434, Time: 2024-06-03 14:56:00, Type: short, Price: 526.18, Units: 1, Previous Balance: 99463.08000000002, New Balance: 99463.27, Result: win
ID: 436, Time: 2024-06-03 15:00:00, Type: short, Price: 525.96, Units: 1, Previous Balance: 99463.27, New Balance: 98937.31, Result: trade executed
ID: 438, Time: 2024-06-03 15:56:00, Type: short, Price: 528.06, Units: 1, Previous Balance: 99463.27, New Balance: 99465.37, Result: win
ID: 440, Time: 2024-06-03 16:00:00, Type: short, Price: 528.06, Units: 1, Previous Balance: 99465.37, New Balance: 98937.31, Result: trade executed
